clique	versions
4720	[343237, 343634, 346314, 348262, 351104, 336331, 339183, 339390, 339662, 342081, 363151, 364240, 366359, 367163, 355487, 355666, 368820, 369863, 357006, 64459, 105077, 106376, 108739, 110413, 114234, 115821, 117884, 118358, 120486, 70396, 139759, 125191, 127949, 135116, 135858, 137232, 145694, 147378, 167846, 169129, 170413, 173622, 174434, 175991, 178523, 178761, 179041, 182852, 184827, 188522, 157940, 159672, 160125, 161927, 162070, 162713, 165590, 258182, 258439, 259131, 259403, 268060, 268254, 268670, 280058, 281129, 285754, 294441, 297949, 290183, 314288, 315403, 315422, 304219, 306815, 325597, 326923, 329280, 331082, 309375, 334478, 335470, 55387, 83452, 83891, 83973, 84653, 86041, 88162, 216004, 221224, 230047, 231562, 231759, 232336, 232533, 235625, 242969, 192661, 193299, 250633, 201983, 203521, 203572, 203819, 204575, 204627, 211079, 211085, 211421, 250920, 212492, 212548, 212667, 255075, 89825, 78812, 57254, 58220, 59555, 93507, 98809, 103292, 70860]
13601	[343238, 315191]
35340	[343239, 136105, 169276, 177586, 231246, 211769, 214248, 215757, 68957, 96677]
14291	[343240, 347798, 338234, 338968, 340633, 341447, 343044, 364362, 364690, 366824, 369867, 357815, 358606, 360586, 79846, 80865, 81890, 81938, 64111, 104074, 106409, 111895, 111899, 112515, 112927, 114051, 118050, 118765, 118887, 120936, 69969, 121306, 123106, 123805, 125515, 129845, 132689, 137926, 150233, 151611, 167757, 168920, 171405, 176702, 181164, 184896, 159708, 160695, 161158, 163037, 165312, 166308, 258291, 258610, 259419, 259683, 276970, 279401, 261639, 266016, 274007, 274231, 275699, 284638, 284762, 285761, 288227, 299526, 300694, 291715, 292565, 293481, 293544, 297225, 298556, 289084, 301913, 302412, 302930, 306131, 319366, 322534, 326936, 308785, 311299, 78077, 84736, 86539, 87570, 216369, 216625, 216674, 217613, 238324, 239293, 220149, 221886, 234519, 236468, 236546, 243155, 244652, 245478, 193583, 197589, 197664, 200540, 203995, 211299, 212588, 212782, 213394, 253475, 254128, 255831, 256855, 257056, 64999, 68234, 78668, 78850, 57257, 61514, 93670, 96176, 98228, 100206, 101498, 102435, 71309, 71414, 71677, 72058, 72669, 75746]
33592	[343241, 339606, 106284, 112242, 121012, 128261, 140911, 142301, 143447, 143478, 174050, 174474, 177011, 185362, 159399, 277567, 291460, 292144, 316820, 82599, 82639, 86289, 188880, 219671, 222959, 232340, 198031, 209362, 255527, 89374, 76092]
16053	[343242, 185190, 293368, 329311, 335924, 227951]
39465	[343243, 343960, 344097, 346417, 346662, 347153, 348784, 349965, 350015, 350346, 351499, 351953, 336842, 337051, 337725, 338540, 342320, 342693, 342971, 343006, 363467, 363814, 364498, 365993, 367185, 368005, 353339, 354153, 368344, 368609, 357588, 358676, 360046, 360107, 360590, 361566, 80263, 81037, 81074, 61942, 62696, 62916, 63562, 106105, 106255, 106453, 106495, 108224, 109584, 109614, 111122, 114131, 115570, 117519, 117576, 119411, 119513, 119586, 123044, 124802, 124856, 139188, 128852, 131418, 133837, 135376, 136994, 137172, 137436, 137484, 143208, 143292, 144018, 144478, 144824, 146317, 147041, 147788, 148408, 149188, 149528, 169141, 170165, 171137, 171271, 172978, 173185, 173409, 173498, 173781, 173828, 175635, 175905, 176603, 179020, 179192, 179541, 179674, 180286, 180560, 180886, 181850, 182052, 182426, 182780, 183084, 183781, 184418, 184647, 185355, 188520, 152017, 152182, 152925, 153156, 153839, 154565, 154583, 155806, 157916, 159124, 159636, 161199, 163275, 163973, 164271, 165153, 166642, 167255, 258249, 258371, 258994, 259207, 259824, 260160, 260178, 260234, 260372, 277001, 278729, 262097, 264711, 267761, 268298, 268359, 271352, 272190, 272566, 275192, 279969, 280031, 281206, 281268, 281963, 282257, 284993, 285070, 286237, 287122, 287667, 287771, 298996, 299075, 299257, 300201, 300945, 291758, 291854, 292089, 293690, 296666, 297811, 298280, 298545, 298731, 289221, 290276, 313422, 315876, 316775, 301975, 303213, 303453, 305482, 305672, 305960, 306191, 306302, 306480, 307015, 318348, 318468, 319302, 319463, 320456, 321887, 322575, 323228, 323324, 324479, 324944, 325737, 326452, 327236, 327780, 329031, 308267, 308598, 309279, 310719, 311192, 311233, 311439, 313039, 332196, 334758, 335665, 76679, 76890, 78298, 78503, 56265, 82358, 82410, 82432, 82742, 83244, 83282, 85583, 85823, 87250, 218030, 218797, 190429, 237616, 241146, 219265, 219993, 222134, 222990, 223066, 226651, 228023, 229243, 230177, 230377, 230713, 230946, 232103, 232670, 233212, 233710, 234673, 190633, 190853, 191452, 191550, 243635, 246948, 194371, 195787, 196379, 248791, 197015, 249834, 250060, 197988, 198463, 200435, 202099, 202278, 203102, 203782, 204838, 205489, 206270, 207798, 208878, 209983, 210222, 210351, 211387, 212044, 212349, 252365, 212808, 213351, 213790, 213832, 253750, 255072, 256996, 257302, 88340, 89576, 89869, 90829, 91341, 67055, 68351, 68550, 68767, 68909, 69238, 57828, 57928, 59308, 61475, 92959, 93008, 93160, 93230, 95859, 96150, 96332, 97701, 99892, 100067, 100310, 100372, 100611, 101127, 101441, 101787, 101960, 102474, 102549, 102605, 102852, 70899, 71447, 71756, 72032, 72158, 72245, 72349, 72897, 72937, 74861, 76054]
11200	[343244, 336679, 182213, 83612, 248586, 102302]
36191	[343245, 336206, 341933, 363984, 368490, 368953, 359858, 62231, 63487, 110037, 117675, 125189, 127293, 146177, 175860, 154100, 260528, 260857, 271648, 299899, 301673, 301724, 290634, 318551, 320813, 309400, 85751, 217906, 226461, 227096, 229840, 234757, 244858, 246255, 247341, 197768, 204579, 207291, 211189, 254797, 254877, 92079, 101685]
33238	[343246, 355722, 356915, 63508, 125103, 128149, 182871, 165452, 269056, 303405, 311978, 332742, 55420, 195408, 249183, 206522, 209238, 251044, 213610, 58513]
13524	[343247, 355266, 116474, 136190, 171702, 178747, 163290, 261001, 268151, 77639, 87977, 200509, 200645]
10986	[343248, 347761, 342497, 352406, 352643, 355427, 62139, 122866, 124221, 147917, 176303, 177129, 179335, 184087, 187458, 159572, 166571, 267688, 299222, 306182, 325767, 326835, 311056, 84829, 87934, 223120, 223321, 229725, 233745, 192247, 204543, 208830, 211156, 213921, 214299, 252652, 255826, 57240]
24508	[343249, 343406, 344894, 345616, 349049, 349751, 350773, 336868, 337205, 339256, 339683, 341390, 365972, 366826, 352835, 353170, 353573, 353737, 353875, 355998, 369689, 369942, 356486, 356751, 359438, 361486, 361881, 82299, 62361, 105420, 106306, 108174, 108286, 109261, 112907, 113866, 114100, 115811, 118331, 118854, 120256, 121600, 121779, 123220, 123763, 125208, 128762, 129966, 132793, 134173, 135074, 135942, 142352, 146524, 146985, 147572, 147770, 168500, 168519, 170905, 173837, 174680, 178450, 182165, 151971, 153180, 154830, 155738, 156938, 158507, 159936, 160170, 163534, 165390, 166795, 276365, 277643, 262446, 264329, 264793, 266978, 268524, 274768, 280496, 280553, 281885, 283049, 299401, 291468, 295268, 297079, 298212, 289343, 290870, 313919, 314601, 315231, 302026, 302373, 302564, 304679, 306109, 319729, 322021, 323286, 323531, 324106, 324398, 328681, 330981, 309611, 311468, 312220, 312843, 331304, 333090, 333398, 333954, 334572, 76601, 77984, 78063, 55963, 56263, 83979, 84541, 217368, 238144, 242395, 219788, 221221, 227619, 227895, 229073, 229279, 229306, 232352, 236118, 190694, 244135, 244762, 246085, 247411, 247640, 193390, 194339, 196764, 250005, 250212, 250248, 198581, 200409, 200924, 202847, 203574, 204796, 210743, 251164, 251788, 214451, 253709, 254785, 89417, 89975, 66385, 79115, 60846, 92415, 95594, 97778, 100231, 102200, 73897, 74232]
15252	[343250, 344600, 345349, 338295, 340496, 341313, 363280, 368435, 357889, 360300, 360724, 80207, 106262, 109172, 113690, 114309, 114312, 115987, 117588, 120120, 120681, 120725, 69922, 121196, 122711, 129998, 144525, 149864, 149941, 151513, 169235, 172555, 175071, 175850, 178505, 181249, 181955, 182338, 152343, 153057, 154872, 156767, 157359, 161180, 164075, 164761, 166980, 257669, 277848, 279128, 266958, 268241, 269407, 270309, 287896, 288149, 288325, 299370, 301524, 290983, 315407, 316945, 303483, 320065, 328075, 309199, 311849, 332097, 333400, 334077, 56755, 83301, 84028, 85773, 240170, 241555, 219347, 222075, 223942, 224436, 224820, 236367, 192441, 247198, 193533, 194024, 194842, 197544, 250298, 198487, 201255, 205858, 213227, 213745, 215185, 215773, 252970, 254627, 89204, 90281, 67702, 67723, 68039, 78666, 94926, 96748, 99870, 102241, 71019, 75295]
39958	[343251, 343453, 343678, 343875, 344436, 347452, 347508, 349316, 349533, 349578, 351437, 336554, 337697, 338842, 342506, 366444, 367206, 354599, 355247, 355702, 368624, 369592, 356579, 358096, 358316, 358732, 360849, 79364, 81032, 81660, 82019, 62238, 62597, 63124, 105452, 105779, 106757, 107547, 109847, 110410, 110757, 110772, 111509, 112711, 112736, 113027, 113627, 114442, 114938, 115478, 116591, 116728, 117292, 118201, 118783, 119918, 120433, 120754, 121135, 138704, 125750, 126046, 127410, 127674, 127690, 128025, 129877, 131725, 131884, 132668, 134738, 135407, 141086, 141365, 145634, 146071, 146288, 168996, 170001, 171123, 171732, 171969, 174135, 174499, 174980, 175110, 177231, 177659, 179645, 180421, 181550, 182678, 183726, 184890, 187259, 152313, 153916, 154166, 156400, 156594, 157220, 157944, 160127, 161066, 161377, 162608, 164323, 165572, 257899, 259708, 260791, 261406, 277074, 277481, 277710, 277716, 279902, 264637, 266045, 269025, 270599, 274347, 274868, 283326, 285119, 285672, 285680, 286208, 287642, 291046, 294776, 295262, 296748, 297706, 298285, 289186, 289217, 289857, 290397, 290770, 314533, 315315, 316091, 317066, 303035, 305564, 306927, 319769, 320760, 321338, 325366, 325469, 325948, 326320, 326640, 328718, 329846, 308007, 308526, 308999, 309430, 311713, 313100, 331149, 332738, 332959, 334018, 334946, 82941, 83061, 85677, 87668, 215933, 217275, 218511, 189598, 236988, 237727, 238642, 238999, 239154, 240176, 240649, 240720, 242099, 242534, 242566, 219079, 219089, 219131, 219285, 219926, 220405, 221865, 222000, 222436, 222763, 223606, 224434, 225839, 226516, 226852, 228109, 229988, 230084, 230247, 231521, 232140, 232620, 232691, 232789, 234092, 235206, 191329, 191507, 191861, 191915, 243450, 243734, 244732, 245889, 247023, 247303, 247499, 192618, 192711, 194742, 249968, 198801, 199672, 200648, 201073, 201326, 201576, 201611, 203713, 206733, 206737, 208776, 209028, 211553, 251034, 251188, 251192, 251786, 252523, 213456, 213974, 215039, 215275, 254013, 254291, 254706, 255224, 255460, 88609, 91042, 91739, 91879, 67625, 67690, 57945, 59813, 92661, 96760, 97324, 97409, 98167, 98575, 99308, 99507, 99983, 102281, 102905, 71853, 72153, 72762, 73336, 74595, 75184, 75333, 75398, 75536]
26162	[343252, 344165, 349288, 349967, 336605, 339203, 340785, 341283, 342074, 342342, 342455, 342937, 364004, 366266, 366312, 367044, 355150, 355537, 355846, 369791, 356488, 356535, 360695, 361399, 82088, 104709, 107421, 110084, 111530, 114385, 119641, 139924, 125326, 129402, 129430, 137104, 137121, 143029, 143217, 144263, 144278, 169585, 172722, 179320, 180299, 184661, 185758, 186147, 152558, 156821, 157693, 159743, 163143, 164283, 165802, 259818, 259975, 276609, 276992, 264557, 268025, 268437, 269873, 270409, 273629, 274932, 280194, 283775, 300465, 301709, 291656, 292038, 292280, 294376, 295047, 296249, 289433, 315696, 316044, 303208, 305081, 305503, 319800, 320323, 323318, 323430, 324884, 325635, 328250, 329314, 330474, 308164, 309879, 313178, 333413, 333700, 335528, 78548, 56478, 84007, 84496, 84591, 87127, 87388, 88055, 188867, 189167, 190285, 237798, 239973, 240363, 241062, 220373, 221208, 221794, 226332, 227487, 229918, 231306, 234525, 234635, 234653, 236471, 246908, 249500, 250020, 198282, 199212, 200741, 200781, 203785, 208149, 211051, 211638, 211911, 251927, 252722, 254499, 256382, 257021, 89662, 65197, 68177, 60369, 99145, 99588, 70704, 71607, 72136]
29713	[343253, 364835]
27752	[343254, 347281, 355012, 211870, 215468]
2415	[343255, 344415, 347407, 352076, 362563, 364698, 352955, 360306, 360316, 360690, 360838, 361784, 80147, 63647, 104353, 106842, 106850, 112546, 116157, 117429, 138613, 127960, 131437, 138090, 140289, 143573, 144020, 170476, 170937, 171467, 173880, 175690, 181823, 154749, 155263, 157314, 157471, 163054, 166068, 260363, 260737, 277563, 261561, 263549, 264267, 266748, 272285, 273164, 284434, 285671, 288354, 299604, 299919, 289500, 314884, 302528, 304939, 305758, 323287, 328138, 331809, 333183, 333840, 333951, 335701, 87001, 188725, 189468, 189900, 237250, 238666, 239901, 219161, 224308, 224573, 229291, 229483, 232504, 235815, 191058, 191273, 191620, 247951, 194162, 200852, 209370, 255368, 255480, 88951, 91005, 66350, 57393, 60963, 92816, 95156, 97054, 97132, 99784, 99997, 100731, 102222, 102541, 103714, 71735]
16438	[343256, 343609, 345195, 363137, 116710, 174710, 176853, 152704, 283977, 297092, 217871, 218563, 190209, 239145, 225627, 227706, 247686, 207419, 67291, 79201, 57602, 103053]
29951	[343257, 124417, 148352, 267117, 293106, 303319, 319535, 320454, 82611, 86963, 87596, 230431, 232017, 234332, 213198, 88840, 93372, 101576, 102285, 72739]
27630	[343258, 343029, 171109, 270101, 304600, 252579, 59647]
30135	[343259, 105477, 119082, 184873, 280739, 286322, 330430, 309918, 218587, 238342, 227984, 244868, 196099, 206433, 209528, 256174, 88854, 59750, 74487]
13199	[343260, 345500, 345624, 347515, 349590, 350151, 350243, 340553, 342103, 342704, 353921, 354655, 354898, 369751, 370001, 79483, 63685, 107787, 108084, 114787, 119520, 119543, 120824, 70369, 123235, 134625, 138221, 146732, 147506, 147694, 149244, 150855, 167933, 169529, 169807, 170317, 174278, 175402, 177012, 178775, 180136, 182449, 186286, 186617, 187461, 152385, 153045, 155108, 162262, 164752, 258176, 258725, 258772, 264703, 280678, 300901, 297719, 290766, 313989, 303812, 304317, 307628, 320134, 335107, 55494, 55646, 56390, 88165, 189253, 238625, 238866, 242381, 220444, 226207, 227994, 235267, 245064, 196063, 249017, 205813, 209888, 213025, 254855, 65125, 68407, 60590, 61349, 93614, 98606, 100434, 100784, 101589, 71905]
20499	[343261, 347413, 347709, 350696, 336857, 338213, 339767, 340332, 363111, 365254, 353356, 369595, 360063, 106476, 108931, 109012, 110434, 110505, 111724, 120022, 120966, 138382, 126657, 127663, 134057, 134980, 136415, 136939, 137984, 140899, 145162, 168826, 174827, 185292, 185316, 185389, 153111, 155273, 155769, 156286, 159600, 160813, 162773, 163417, 167591, 167604, 259629, 268015, 268850, 270493, 274245, 280200, 283782, 300804, 296447, 298610, 290557, 315613, 302374, 304216, 307420, 330551, 308575, 308675, 333778, 335171, 56430, 82791, 86788, 217157, 237420, 238836, 224677, 231666, 192438, 243288, 245759, 247991, 201843, 203661, 209048, 251028, 252626, 252654, 88597, 89287, 68183, 58129, 60240, 75018]
26629	[343262, 344921, 349171, 341132, 363199, 352401, 357448, 358082, 359650, 359994, 360982, 106457, 110814, 112702, 114633, 70489, 123847, 126257, 129451, 129668, 133080, 133409, 134250, 134776, 135534, 137246, 151808, 172489, 175430, 179628, 179907, 180900, 152684, 153642, 155336, 158045, 159181, 161132, 162044, 260994, 278951, 267153, 269550, 270674, 270732, 271414, 271949, 272321, 275420, 280373, 280939, 285370, 287306, 287649, 300135, 291429, 292776, 295112, 314399, 315063, 316613, 317682, 304857, 306197, 321070, 321678, 322819, 324125, 327163, 328253, 329300, 330657, 307744, 310154, 312193, 77417, 55647, 55729, 56405, 82883, 218676, 241027, 241516, 223899, 232474, 233215, 233357, 233574, 191998, 247468, 194219, 249857, 249879, 198528, 199901, 206612, 253265, 64819, 67521, 57300, 59190, 96230, 96749, 96966, 98166, 99033, 102184, 71812, 76476]
34311	[343263, 169836, 262714]
30452	[343264, 346236, 336226, 340158, 62372, 130911, 137525, 171106, 152353, 161464, 258092, 273457, 274454, 281396, 301151, 290755, 319402, 311015, 83505, 83972, 87437, 235106, 248453, 195469, 90434, 59582, 96795]
11401	[343265, 360190, 61867, 126710, 176282, 178688, 187146, 258833, 259998, 219781, 248807]
33855	[343266, 185562, 333759]
21740	[343267, 347113, 348447, 352671, 162578, 295470, 298227, 328065, 329729, 217269, 243022, 207549, 97214]
20091	[343268, 344968, 350056, 336854, 338037, 366810, 62893, 117617, 120699, 132000, 147021, 171129, 186699, 154472, 260798, 268613, 281222, 288064, 305407, 325081, 332056, 334411, 239029, 229580, 190700, 196884, 201043, 210400, 252173, 255158, 91756, 67195, 60515, 60839, 96752, 73124, 73812]
9650	[343269, 343763, 344970, 346117, 347689, 349425, 349458, 349553, 349558, 352144, 336540, 336563, 336937, 339699, 339770, 340698, 341101, 342596, 362796, 362798, 365847, 366829, 367343, 367376, 367390, 353471, 353881, 354760, 354765, 355282, 368343, 369254, 356603, 356755, 359570, 360602, 80330, 81550, 82094, 61626, 63211, 64074, 104324, 104799, 105785, 107823, 107824, 110444, 114256, 115688, 117522, 117674, 117948, 118443, 119615, 121078, 121665, 124669, 138985, 125946, 128456, 132228, 133534, 135027, 137564, 137712, 140703, 141430, 143068, 145027, 145293, 145621, 146110, 149150, 149963, 150709, 151688, 167714, 167932, 170782, 171925, 175528, 177013, 177868, 179953, 182949, 183083, 183663, 186917, 152553, 152694, 155974, 158763, 159919, 159954, 160446, 162263, 166031, 166152, 258874, 258887, 260133, 276674, 277370, 277435, 277883, 278167, 279554, 262389, 263578, 264568, 265901, 266584, 266980, 274121, 274499, 275040, 282165, 283610, 283869, 284355, 285538, 286538, 287187, 287402, 299649, 291924, 293190, 295965, 296964, 297333, 288925, 289854, 313889, 317052, 317156, 304948, 306354, 306873, 318464, 320080, 323525, 324109, 326002, 327128, 309870, 310915, 311218, 334276, 335740, 335948, 77716, 78166, 56623, 56889, 83567, 85707, 87037, 87056, 88132, 216230, 189723, 189884, 239160, 218981, 219468, 220643, 222498, 222877, 223266, 223824, 223841, 224218, 225530, 226755, 230598, 231080, 232768, 236508, 191288, 191385, 191453, 192335, 243723, 245303, 245989, 247123, 247914, 193861, 248817, 249278, 249652, 197231, 250118, 199133, 205284, 206185, 206234, 206581, 208850, 208966, 209650, 210015, 211990, 212377, 252569, 212516, 214097, 214366, 214994, 215536, 89044, 89605, 67658, 58704, 60412, 61382, 94560, 95373, 95400, 97301, 98766, 100842, 100962, 102334, 71423, 72107, 74124, 75042]
10857	[343270, 152568, 268559, 271734, 281575, 288412, 227955]
36326	[343271, 351624, 80910, 105342, 121949, 142825, 143579, 143976, 170018, 175857, 183667, 184564, 159288, 257703, 274064, 275026, 300489, 289072, 302375, 326983, 329531, 310502, 56151, 84041, 226305, 204478, 98403, 71236]
6390	[343272, 348557, 360126, 109128, 109317, 114479, 70257, 136095, 145813, 170642, 170982, 172928, 178824, 181574, 182619, 265205, 267063, 269859, 301232, 294254, 332776, 227794, 229319, 232968, 233599, 244256, 245060, 193896, 203336, 211221, 255313, 78634, 74982]
14293	[343273, 346021, 339084, 366407, 368016, 127979, 145427, 146877, 150089, 168785, 179469, 162417, 277674, 272769, 275625, 286837, 300113, 291716, 297285, 290861, 315598, 303305, 323674, 327048, 329156, 312045, 237857, 238353, 220839, 229675, 245381, 250293, 199115, 255784, 91116, 68134, 59381, 102126]
27830	[343274, 365637, 367286, 360805, 117750, 148359, 161123, 267436, 271442, 285879, 236734, 208235]
37969	[343275, 172121]
17971	[343276, 369113, 107797, 129748, 145020, 173359, 174834, 152989, 269246, 284208, 286922, 333804, 191590, 244525, 248267, 193833, 197250, 202432, 210626, 98475]
11769	[343277, 356768, 115918, 259063, 271469, 311283, 233275, 190641, 247410, 256038]
21059	[343278, 343824, 346812, 349986, 350250, 342718, 369761, 62390, 106305, 107942, 112897, 115593, 117393, 117959, 118326, 118570, 69977, 122817, 124612, 129930, 134335, 142914, 150251, 172521, 174778, 178605, 184507, 185337, 186241, 188406, 161061, 163483, 277962, 285057, 286781, 299531, 300716, 300797, 301501, 293161, 293177, 294867, 297882, 304896, 306076, 321084, 325136, 325222, 325456, 326403, 328535, 328573, 309809, 310040, 333874, 335494, 335990, 77341, 78515, 55276, 55842, 56271, 57067, 216301, 237019, 242133, 219976, 223026, 227121, 228349, 229271, 231187, 232353, 234721, 235221, 192184, 243499, 245250, 247254, 192947, 195360, 201315, 203571, 206396, 209162, 251787, 252388, 253335, 90809, 59033, 97084, 101554, 101590, 103445, 74314, 75570]
31555	[343279, 344001, 345378, 346968, 351948, 79907, 62395, 62817, 104520, 105032, 117105, 120128, 121488, 169054, 171527, 153368, 264440, 280664, 284059, 300437, 296423, 297413, 315184, 303066, 319291, 325668, 326799, 76968, 218362, 189201, 239588, 247044, 195141, 249323, 249492, 203103, 210887, 212408, 57455, 92846, 93201, 98269, 73422]
10371	[343280, 348149, 363485, 368040, 354333, 357276, 81185, 115565, 118491, 125861, 135251, 141706, 144346, 147013, 151151, 174644, 175907, 178930, 153434, 160916, 161102, 275575, 300318, 300628, 295346, 316854, 307298, 322343, 334273, 56824, 237743, 222899, 223879, 228807, 229212, 232370, 192227, 194458, 198949, 199620, 205416, 251730, 212739, 253918, 256669, 89526, 92023, 68678, 79078, 71172]
3282	[343281, 347814, 358910]
13146	[343282, 232584]
35390	[343283, 350534, 337495, 364752, 365693, 352537, 357242, 80625, 81233, 62495, 108694, 109802, 112662, 116015, 118221, 120927, 122803, 134417, 146700, 151143, 151755, 168846, 171788, 175706, 177566, 184057, 185949, 187057, 155185, 158413, 162926, 258738, 260269, 276350, 280348, 285894, 288043, 291452, 292244, 294988, 298293, 312103, 312954, 77364, 83920, 85944, 88281, 217082, 217720, 218746, 242657, 220291, 222226, 227556, 227824, 235420, 190832, 245514, 248254, 250245, 205290, 210146, 210227, 253296, 66778, 69520, 57538, 61039, 98024]
